elapsed	rss_kb	fds	cpu_s	log_bytes
0	3192	7	0.00	8192
60	4728	7	0.00	40960
120	5920	7	1.00	131072
180	7116	7	3.00	131072
240	8560	7	4.00	196608
300	9964	7	6.00	196608
360	11296	7	8.00	262144
420	12812	7	9.00	262144
480	14248	7	11.00	327680
540	15752	7	13.00	327680
600	17208	7	15.00	393216
660	17188	7	16.00	393216
720	17152	7	17.00	458752
780	17152	7	19.00	458752
840	17120	7	21.00	524288
900	17120	7	22.00	524288
960	17120	7	24.00	589824
1020	17120	7	25.00	589824
1080	17120	7	27.00	655360
1140	17120	7	29.00	655360
1200	17120	7	31.00	720896
1261	17120	7	32.00	720896
1321	17120	7	34.00	786432
1381	17148	7	36.00	786432
1441	17148	7	37.00	851968
1501	17148	7	39.00	851968
1561	17148	7	41.00	917504
1621	17144	7	43.00	917504
1681	17120	7	44.00	983040
1741	17120	7	46.00	983040
1801	17120	7	48.00	1048576
1861	17120	7	50.00	1048576
1921	17120	7	52.00	1114112
1981	17120	7	53.00	1114112
2041	17120	7	54.00	2162688
2101	17120	7	56.00	2162688
2161	17120	7	58.00	2162688
2221	17120	7	60.00	2162688
2281	17120	7	61.00	2162688
2341	17120	7	64.00	2162688
2401	17120	7	66.00	2162688
2461	17120	7	67.00	2162688
2521	17120	7	68.00	2162688
2581	17120	7	70.00	2162688
2641	17120	7	71.00	2162688
2701	16844	7	73.00	2162688
2941	17356	7	75.00	2162688
3001	17180	7	77.00	2162688
3061	17180	7	79.00	2162688
3121	17180	7	81.00	2162688
3181	17196	7	83.00	2162688
3241	17228	7	85.00	2162688
3301	17228	7	87.00	2162688
3361	17228	7	89.00	2162688
3421	17228	7	91.00	2162688
3481	17228	7	93.00	2162688
3541	17228	7	95.00	2162688
3601	17228	7	96.00	2162688
3661	17224	7	98.00	2162688
3721	17272	7	100.00	2170880
3781	17228	7	102.00	2203648
3842	17228	7	104.00	2293760
3902	17224	7	106.00	2293760
3962	17228	7	107.00	2359296
4022	17224	7	109.00	2359296
4082	17228	7	111.00	2424832
4142	17228	8	113.00	2424832
4202	17224	7	115.00	2490368
4262	17224	7	117.00	2490368
4322	17228	7	119.00	2555904
4382	17228	7	120.00	2555904
4442	17224	7	122.00	2621440
4502	17228	7	124.00	2621440
4562	17224	7	126.00	2686976
4622	17228	7	127.00	2686976
4682	17228	7	129.00	2752512
4742	17224	7	131.00	2752512
4802	17224	7	133.00	2818048
4862	17228	7	135.00	2818048
4922	17228	7	137.00	2883584
4982	17224	7	139.00	2883584
5042	17228	7	140.00	2949120
5102	17224	7	142.00	2949120
5162	17228	7	143.00	3014656
5222	17228	7	145.00	3014656
5282	17224	7	146.00	3080192
5342	17224	7	148.00	3080192
5402	17228	7	150.00	3145728
5462	17228	7	152.00	3145728
5522	17224	7	153.00	3211264
5582	17228	7	155.00	3211264
5642	17224	7	157.00	3276800
5702	17228	7	159.00	3276800
5762	17228	7	161.00	4325376
5822	17224	7	163.00	4325376
5882	17224	7	165.00	4325376
5942	17228	7	167.00	4325376
6002	17228	7	169.00	4325376
6062	17224	7	171.00	4325376
6122	17228	7	173.00	4325376
6182	17228	7	176.00	4325376
6242	17228	7	179.00	4325376
6303	17228	7	180.00	4325376
6363	17224	7	182.00	4325376
6423	17224	7	184.00	4325376
6483	17228	7	185.00	4325376
6543	17228	7	187.00	3731456
6603	17224	7	188.00	4788224
6663	17228	7	190.00	4788224
6723	17224	7	191.00	4788224
6783	17228	7	193.00	4788224
6843	17228	7	195.00	4788224
6903	17224	7	196.00	4788224
6963	17228	7	198.00	5001216
7023	17228	7	200.00	5001216
7083	17228	7	202.00	5001216
7143	17224	7	204.00	5001216
7203	17228	7	206.00	5001216
7263	17224	7	208.00	5001216
7323	17228	7	210.00	5001216
7383	17228	7	211.00	5001216
7443	17224	7	213.00	5001216
7503	17224	7	215.00	5001216
7563	17224	7	217.00	5001216
7623	17196	7	219.00	5001216
7683	17196	7	220.00	5001216
7743	17196	7	222.00	5001216
7803	17196	7	224.00	5001216
7863	17196	7	226.00	5001216
7923	17196	7	228.00	5001216
7983	17196	7	230.00	5001216
8043	17196	7	232.00	5001216
8103	17196	7	234.00	5001216
8163	17196	7	236.00	5001216
8223	17196	7	238.00	5001216
8283	17196	7	240.00	5001216
8343	17196	7	241.00	5001216
8403	17196	7	243.00	5001216
8463	17196	7	245.00	5001216
8523	17196	7	247.00	5001216
8583	17196	7	249.00	5001216
8643	17196	7	251.00	5001216
8703	17196	7	253.00	5001216
8763	17196	7	255.00	5001216
8824	17196	7	257.00	5001216
8884	17196	7	259.00	6049792
8944	17196	7	261.00	6049792
9004	17196	7	262.00	6049792
9064	17196	7	264.00	6049792
9124	17196	7	266.00	6049792
9184	17196	7	268.00	6049792
9244	17196	7	270.00	6049792
9304	17196	7	272.00	6049792
9364	17196	7	274.00	6049792
9424	17196	7	276.00	6049792
9484	17196	7	278.00	6049792
9544	17196	7	280.00	6049792
9604	17196	7	281.00	6049792
9664	17196	7	283.00	6049792
9724	17196	7	285.00	6049792
9784	17196	7	287.00	6049792
9844	17196	7	289.00	6049792
9904	17196	7	291.00	6049792
9964	17196	7	293.00	6049792
10024	17196	7	295.00	6049792
10084	17196	7	297.00	6049792
10144	17196	7	299.00	6049792
10204	17196	7	301.00	6049792
10264	17196	7	303.00	6049792
10324	17196	7	305.00	6049792
10384	17196	7	306.00	6049792
10444	17196	7	308.00	6049792
10504	17196	7	310.00	6049792
10564	17196	7	312.00	6049792
10624	17196	7	313.00	6049792
10684	17196	7	315.00	6049792
10744	17196	7	317.00	7098368
10804	17196	7	319.00	7098368
10864	17196	7	320.00	6897664
10924	17196	7	322.00	6897664
10984	17196	7	324.00	6897664
11044	17196	7	325.00	6897664
11104	17196	7	327.00	6897664
11164	17196	7	328.00	6897664
11224	17196	7	330.00	6897664
11284	17196	7	331.00	6897664
11344	17196	7	333.00	6897664
11404	17196	7	334.00	6897664
11464	17196	7	336.00	6897664
11525	17196	7	337.00	6897664
11585	17196	7	339.00	6897664
11645	17196	7	341.00	6897664
11705	17196	7	343.00	6897664
11765	17196	7	345.00	6897664
11825	17196	7	346.00	6897664
11885	17196	7	348.00	6897664
11945	17196	7	349.00	6897664
12005	17196	7	351.00	6897664
12065	17196	7	353.00	6897664
12125	17196	7	354.00	6897664
12185	17196	7	356.00	6897664
12245	17196	7	358.00	6897664
12305	17196	7	360.00	6897664
12365	17136	7	362.00	6897664
12425	17136	7	363.00	6897664
12485	17136	7	365.00	6897664
12545	17136	7	367.00	6897664
12605	17136	7	369.00	6897664
12665	17136	7	371.00	7946240
12725	17136	7	373.00	7946240
12785	17136	8	375.00	7946240
12845	17136	7	377.00	7946240
12905	17136	7	379.00	7946240
12965	17136	7	381.00	7946240
13025	17136	7	383.00	7946240
13085	17136	7	385.00	7946240
13145	17136	7	387.00	7946240
13205	17136	7	389.00	7946240
13265	17136	7	391.00	7946240
13325	17136	7	392.00	7946240
13385	17136	7	394.00	7946240
13445	17136	7	396.00	7946240
13505	17136	7	398.00	7946240
13565	17136	7	400.00	7946240
13625	17136	7	401.00	7946240
13685	17136	7	404.00	7946240
13745	17136	7	406.00	7946240
13805	17136	7	408.00	7946240
13865	17136	7	410.00	7946240
13925	17136	7	412.00	7946240
13985	17136	7	415.00	7946240
14046	17136	7	417.00	7946240
14106	17136	7	419.00	7946240
14166	17136	7	421.00	7946240
14226	17136	7	423.00	7946240
14286	17136	7	425.00	7946240
14346	17136	7	427.00	7946240
14406	17136	7	429.00	7946240
14466	17136	7	431.00	7946240
14526	17136	7	433.00	8994816
14586	17136	7	435.00	8994816
14646	17136	7	437.00	8994816
14706	17136	7	438.00	8994816
14766	17136	7	440.00	8994816
14826	17136	7	442.00	8994816
14886	17136	7	444.00	8994816
14946	17136	7	446.00	8994816
15006	17136	7	448.00	8994816
15066	17136	7	450.00	8994816
15126	17136	7	452.00	8994816
15186	17136	7	454.00	8994816
15246	17136	7	456.00	8994816
15306	17136	8	458.00	8994816
15366	17136	7	460.00	8994816
15426	17136	7	462.00	8994816
15486	17136	7	463.00	8994816
15546	17136	7	465.00	8994816
15606	17136	7	467.00	8994816
15666	17136	7	469.00	8994816
15726	17136	7	470.00	8994816
15786	17136	7	472.00	8994816
15846	17136	7	473.00	8994816
15906	17136	7	474.00	8994816
15966	17136	7	476.00	8994816
16026	17136	7	477.00	8994816
16086	17136	7	479.00	8994816
16146	17136	7	481.00	8994816
16206	17136	7	482.00	8994816
16266	17136	7	484.00	8994816
16326	17136	7	486.00	8994816
16386	17136	7	488.00	8994816
16446	17136	7	489.00	10043392
16506	17136	7	491.00	10043392
16566	17136	7	494.00	10043392
16627	17136	7	496.00	10043392
16687	17136	7	498.00	10043392
16747	17136	7	501.00	10043392
16807	17136	7	502.00	10043392
16867	17136	7	504.00	10043392
16927	17136	7	506.00	10043392
16987	17136	7	509.00	10043392
17047	17136	7	511.00	10043392
17107	17136	7	512.00	10043392
17167	17136	7	515.00	10043392
17227	17136	7	517.00	10043392
17287	17136	7	519.00	10043392
17347	17136	7	522.00	10043392
17407	17136	7	524.00	10043392
17467	17136	7	526.00	10043392
17527	17136	7	528.00	10043392
17587	17136	7	531.00	10043392
17647	17136	7	533.00	10043392
17707	17136	7	536.00	10043392
17767	17136	7	538.00	10043392
17827	17136	7	540.00	10043392
17887	17136	7	543.00	10043392
17947	17136	7	545.00	10043392
18007	17136	7	547.00	10043392
18067	17136	7	550.00	10043392
18127	17136	7	552.00	10043392
18187	17136	7	554.00	10043392
18247	17136	7	557.00	10043392
18307	17136	7	559.00	11091968
18367	17136	7	562.00	11091968
18427	17136	7	564.00	11091968
18487	17136	7	566.00	11091968
18547	17136	7	568.00	11091968
18607	17136	7	570.00	11091968
18667	17136	7	571.00	11091968
18727	17136	7	573.00	11091968
18787	17136	7	575.00	11091968
18847	17136	7	576.00	11091968
18907	17136	7	577.00	11091968
18967	17136	7	579.00	11091968
19027	17136	7	580.00	11091968
19087	17136	7	583.00	11091968
19148	17136	7	585.00	11091968
19208	17136	7	587.00	11091968
19268	17136	7	590.00	11091968
19328	17136	7	592.00	11091968
19388	17136	7	594.00	11091968
19448	17136	7	596.00	11091968
19508	17136	7	598.00	11091968
19568	17136	7	600.00	11091968
19628	17136	7	603.00	11091968
19688	17136	7	605.00	11091968
19748	17136	7	607.00	11091968
19808	17136	7	609.00	11091968
19868	17136	7	611.00	11091968
19928	17136	7	613.00	11091968
19988	17136	7	615.00	11091968
20048	17136	8	618.00	11091968
20108	17136	7	620.00	11091968
20168	17136	7	621.00	11091968
20228	17136	7	623.00	12140544
20288	17136	7	625.00	12140544
20348	17136	7	628.00	12140544
20408	17136	7	630.00	12140544
20468	17136	7	632.00	12140544
20528	17136	7	634.00	12140544
20588	17136	7	636.00	12140544
20648	17136	7	638.00	12140544
20708	17136	7	640.00	12140544
20768	17136	7	642.00	12140544
20828	17136	7	644.00	12140544
20888	17136	7	647.00	12140544
20948	17136	7	649.00	12140544
21008	17136	7	651.00	12140544
21068	17136	7	653.00	12140544
21128	17136	7	655.00	12140544
21188	17136	7	656.00	12140544
21248	17136	7	658.00	12140544
21308	17136	7	660.00	12140544
21368	17136	7	662.00	12140544
21428	17136	7	664.00	12140544
21488	17136	7	666.00	12140544
21548	17136	7	668.00	12140544
