elapsed	rss_kb	fds	cpu_s	log_bytes
0	14816	8	0.14	94208
60	63088	8	4.22	188416
121	112752	8	8.22	286720
181	162464	8	12.74	380928
241	214256	8	17.50	475136
301	261440	8	23.35	573440
361	313232	8	30.36	667648
421	364880	8	38.13	765952
481	416096	8	46.05	860160
541	460432	8	54.28	954368
601	491680	8	62.89	1052672
661	497008	8	71.68	1146880
721	500432	8	80.41	1241088
781	504560	8	88.99	1339392
841	509872	8	97.58	1433600
901	513328	8	106.38	1531904
961	509968	8	115.25	2580480
1021	518320	8	124.24	2580480
1081	523968	8	133.41	2580480
1141	528144	8	142.66	2580480
1201	530496	8	151.93	2580480
1261	527136	8	161.20	2580480
1322	542768	8	169.96	2580480
1382	560496	8	178.29	2580480
1442	552704	8	186.19	2580480
1502	507072	8	193.35	2580480
1562	511920	8	200.86	3629056
1622	523536	8	208.34	3629056
1682	533840	8	214.96	3629056
1742	515936	8	221.69	3629056
1802	525088	8	227.65	3629056
1862	536016	8	234.51	3629056
1922	519232	8	242.18	3629056
1982	503744	8	249.58	4227072
2042	488960	8	257.37	4227072
2102	504208	8	265.72	4227072
2162	516336	8	273.54	4227072
2222	520304	8	280.95	4227072
2282	527952	8	288.88	4227072
2342	531008	8	296.62	4227072
2402	544816	8	305.02	4227072
2462	576368	8	314.21	4227072
2522	592288	8	322.73	4227072
2583	612224	8	332.02	4227072
2643	612400	8	339.78	5275648
2703	621216	8	349.06	5275648
2763	634016	8	358.13	5275648
2823	637552	8	365.12	5275648
2883	635328	8	372.43	5275648
2943	580400	8	379.64	5275648
3003	591024	8	386.47	5275648
3063	568368	8	395.85	5275648
3123	557456	8	404.91	5275648
3183	578304	8	412.08	5275648
3243	510192	8	419.62	5275648
3303	524912	8	427.89	6324224
3363	533344	8	437.06	6324224
3423	537344	8	446.14	6324224
3483	478592	8	453.32	5615616
3543	483552	8	461.04	6664192
3603	503872	8	469.37	6664192
3663	515104	8	475.69	5910528
3723	537200	8	483.71	6008832
3784	524352	8	490.26	6107136
3844	462768	8	495.07	6205440
3904	461056	8	501.32	6299648
3964	454896	8	506.58	7348224
4024	486240	8	511.96	7348224
4084	491296	8	518.60	7348224
4144	471648	8	524.56	7348224
4204	501632	8	531.76	7348224
4264	473120	8	537.98	6885376
4324	459040	8	544.47	7933952
4384	469392	8	551.03	7933952
4444	461824	8	556.64	7933952
4504	461536	8	563.29	7933952
4564	459360	8	569.48	7933952
4624	466000	8	575.38	7933952
4684	470800	8	581.35	7933952
4744	472768	8	587.48	7933952
4804	483312	8	593.00	7933952
4864	473552	8	600.26	7933952
4924	474944	8	608.79	8982528
4984	485280	8	617.00	8982528
5044	493776	8	622.19	8982528
5105	500416	8	631.08	8982528
5165	495344	8	639.26	8982528
5225	487472	8	646.62	8982528
5285	465840	8	654.50	8982528
5345	465696	8	663.10	8982528
5405	464480	8	670.74	8982528
5465	475456	8	678.76	8982528
5525	481264	8	686.76	8982528
5585	468384	8	694.62	10031104
5645	479840	8	703.14	10031104
5705	488816	8	711.22	10031104
5765	495216	8	719.58	10031104
5825	502464	8	728.80	10031104
5885	507504	8	738.09	10031104
5945	507664	8	746.99	10031104
6005	461296	8	755.62	10031104
6065	466608	8	764.21	10031104
6125	476016	8	773.60	10031104
6185	481872	8	782.85	10031104
6245	492016	8	792.21	11079680
6305	488240	8	801.60	11079680
6366	468288	8	810.37	11079680
6426	475072	8	819.41	11079680
6486	479168	8	828.76	11079680
6546	486224	8	838.40	11079680
6606	496544	8	847.55	11079680
6666	515504	8	857.09	11079680
6726	463952	8	864.94	11079680
6786	468160	8	873.48	11079680
6846	488880	8	881.95	11079680
6906	482416	8	890.75	12128256
6966	492336	8	900.63	12128256
7026	500528	8	911.03	12128256
7086	507504	8	921.17	12128256
7146	507904	8	931.60	12128256
7206	513904	8	942.07	12128256
7266	520640	8	952.60	12128256
7326	542752	8	963.23	12128256
7386	556080	8	973.58	12128256
7446	564176	8	983.94	12128256
7506	565968	8	994.47	12128256
7566	566320	8	1004.52	13176832
7627	563184	8	1015.01	13176832
7687	563200	8	1025.48	13176832
7747	562176	8	1036.30	13176832
7807	562224	8	1046.86	13176832
7867	557808	8	1057.47	13176832
7927	558352	8	1068.15	13176832
7987	556848	8	1078.67	13176832
8047	561232	8	1089.34	13176832
8107	561280	8	1100.15	13176832
8167	561280	8	1110.60	13176832
8227	561440	8	1121.24	13176832
8287	561456	8	1131.78	14225408
8347	561456	8	1142.31	14225408
8407	561456	8	1153.00	14225408
8467	561712	8	1164.03	14225408
8527	561904	8	1174.52	14225408
8587	562128	8	1185.05	14225408
8647	551504	8	1195.94	14225408
8707	550560	8	1206.80	14225408
8767	550560	8	1217.39	14225408
8828	548544	8	1227.98	14225408
8888	548000	8	1238.50	14225408
8948	546912	8	1249.00	15273984
9008	546448	8	1259.54	15273984
9068	538288	8	1270.01	15273984
9128	538320	8	1280.59	15273984
9188	532608	8	1291.08	15273984
9248	532752	8	1301.65	15273984
9308	533008	8	1312.12	15273984
9368	533024	8	1322.83	15273984
9428	533136	8	1333.34	15273984
9488	533360	8	1343.89	15273984
9548	533840	8	1354.31	15273984
9608	533952	8	1365.22	16322560
9668	533808	8	1375.72	16322560
9728	533792	8	1386.22	16322560
9788	533792	8	1396.76	16322560
9848	533808	8	1407.71	16322560
9908	533808	8	1418.53	16322560
9968	533824	8	1429.27	16322560
10029	534016	8	1440.34	16322560
10089	534048	8	1451.22	16322560
10149	534048	8	1461.75	16322560
10209	534048	8	1472.54	16322560
10269	534048	8	1483.00	17371136
10329	530752	8	1493.50	17371136
10389	530384	8	1503.99	17371136
10449	528896	8	1515.31	17371136
10509	528912	8	1526.54	17371136
10569	517696	8	1537.16	17371136
10629	518784	8	1547.96	17371136
10689	504752	8	1558.41	17371136
10749	508304	8	1569.26	17371136
10809	510608	8	1579.86	17371136
11049	515552	8	1590.07	18419712
11109	520256	8	1600.26	18419712
11169	524864	8	1610.33	18419712
11229	527216	8	1620.43	18419712
11289	527456	8	1630.58	18419712
11349	527600	8	1640.79	18419712
11410	527648	8	1651.11	18419712
11470	527760	8	1661.11	18419712
11530	527744	8	1671.15	18419712
11590	527776	8	1681.38	18419712
11650	527776	8	1691.47	18419712
11710	527776	8	1701.55	18419712
11770	527776	8	1711.61	19468288
11830	527776	8	1721.75	19468288
11890	527792	8	1731.91	19468288
11950	527808	8	1741.95	19468288
12010	527808	8	1751.90	19468288
12070	527808	8	1761.91	19468288
12130	527792	8	1771.88	19468288
12190	527840	8	1781.98	19468288
12250	527776	8	1791.89	19468288
12310	527776	8	1802.08	19468288
12370	527776	8	1812.21	19468288
